0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0|Down|0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1|Up|0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1|Down|0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1|Right|0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1
0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1|Down|0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,2
0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,2|Left|1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1
1,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1|Down|0,0,0,0,1,0,0,0,2,0,0,0,1,3,1,1
0,0,0,0,1,0,0,0,2,0,0,0,1,3,1,1|Down|0,0,0,0,1,0,0,0,2,0,0,0,1,3,1,1
0,0,0,0,1,0,0,0,2,0,0,0,1,3,1,1|Left|0,0,0,0,1,0,1,0,2,0,0,0,1,3,2,0
0,0,0,0,1,0,1,0,2,0,0,0,1,3,2,0|Left|0,0,0,1,2,0,0,0,2,0,0,0,1,3,2,0
0,0,0,1,2,0,0,0,2,0,0,0,1,3,2,0|Down|0,0,0,0,0,0,0,0,3,1,0,0,1,3,2,1
0,0,0,0,0,0,0,0,3,1,0,0,1,3,2,1|Right|0,0,0,0,0,0,0,0,2,0,3,1,1,3,2,1
0,0,0,0,0,0,0,0,2,0,3,1,1,3,2,1|Right|0,0,0,0,0,0,1,0,0,2,3,1,1,3,2,1
0,0,0,0,0,0,1,0,0,2,3,1,1,3,2,1|Right|0,1,0,0,0,0,0,1,0,2,3,1,1,3,2,1
0,1,0,0,0,0,0,1,0,2,3,1,1,3,2,1|Up|1,1,3,1,0,2,2,2,0,3,0,0,0,0,1,0
1,1,3,1,0,2,2,2,0,3,0,0,0,0,1,0|Right|0,2,3,1,0,1,2,3,0,0,0,3,0,0,0,1
0,2,3,1,0,1,2,3,0,0,0,3,0,0,0,1|Left|2,3,1,1,1,2,3,0,3,0,0,0,0,0,0,1
2,3,1,1,1,2,3,0,3,0,0,0,0,0,0,1|Up|2,3,1,0,1,2,3,0,3,1,0,0,0,0,0,2
2,3,1,0,1,2,3,0,3,1,0,0,0,0,0,2|Right|0,2,3,1,0,1,2,3,1,0,3,1,0,0,0,2
0,2,3,1,0,1,2,3,1,0,3,1,0,0,0,2|Right|0,2,3,1,0,1,2,3,1,1,3,1,0,0,0,2
0,2,3,1,0,1,2,3,1,1,3,1,0,0,0,2|Down|0,0,0,1,2,0,3,3,0,0,2,1,1,3,3,2
0,0,0,1,2,0,3,3,0,0,2,1,1,3,3,2|Up|2,3,3,1,1,0,2,3,2,0,3,1,0,0,0,2
2,3,3,1,1,0,2,3,2,0,3,1,0,0,0,2|Down|1,0,0,1,2,0,3,3,1,0,2,1,2,3,3,2
1,0,0,1,2,0,3,3,1,0,2,1,2,3,3,2|Right|0,0,0,2,0,1,2,4,0,1,2,1,0,2,4,2
0,0,0,2,0,1,2,4,0,1,2,1,0,2,4,2|Down|1,0,0,2,0,0,0,4,0,2,3,1,0,2,4,2
1,0,0,2,0,0,0,4,0,2,3,1,0,2,4,2|Left|1,2,0,0,4,1,0,0,2,3,1,0,2,4,2,0
1,2,0,0,4,1,0,0,2,3,1,0,2,4,2,0|Up|1,2,2,0,4,1,0,0,3,3,1,0,0,4,0,1
1,2,2,0,4,1,0,0,3,3,1,0,0,4,0,1|Right|2,0,1,3,0,0,4,1,0,0,4,1,0,0,4,1
2,0,1,3,0,0,4,1,0,0,4,1,0,0,4,1|Down|0,0,0,0,0,0,1,3,1,0,4,1,2,0,5,2
0,0,0,0,0,0,1,3,1,0,4,1,2,0,5,2|Up|1,0,1,3,2,0,4,1,0,1,5,2,0,0,0,0
1,0,1,3,2,0,4,1,0,1,5,2,0,0,0,0|Up|1,0,1,3,2,0,4,1,0,0,5,2,0,1,0,1
1,0,1,3,2,0,4,1,0,0,5,2,0,1,0,1|Down|1,0,0,3,0,0,1,1,1,0,4,2,2,1,5,1
1,0,0,3,0,0,1,1,1,0,4,2,2,1,5,1|Down|1,0,0,3,0,0,1,1,2,0,4,2,2,1,5,1
