2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0|Right|0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0|Down|0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1|Right|0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1
0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1|Left|1,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0
1,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0|Right|0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,1
0,1,0,1,0,0,0,1,0,0,0,1,0,1,2,1|Left|2,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0
2,0,0,0,1,0,0,0,1,1,0,0,1,2,1,0|Down|0,0,0,0,2,0,0,0,2,1,0,0,1,2,1,0
0,0,0,0,2,0,0,0,2,1,0,1,1,2,1,0|Right|0,0,0,0,0,0,0,2,0,0,2,2,0,1,2,1
0,0,0,1,0,0,0,2,0,0,2,2,0,1,2,1|Down|0,0,0,0,0,0,0,1,0,0,0,3,0,1,3,1
0,0,0,0,0,0,0,1,0,0,2,3,0,1,3,1|Right|0,0,0,0,0,0,0,1,0,0,2,3,0,1,3,1
0,0,0,0,0,0,0,1,0,0,2,3,0,1,3,1|Left|0,0,0,0,1,0,0,0,2,3,0,0,1,3,1,0
0,2,0,0,1,0,0,0,2,3,0,0,1,3,1,0|Left|2,0,0,0,1,0,0,0,2,3,0,0,1,3,1,0
2,0,0,0,1,2,0,0,2,3,0,0,1,3,1,0|Left|2,0,0,0,1,2,0,0,2,3,0,0,1,3,1,0
2,0,0,0,1,2,0,0,2,3,0,0,1,3,1,0|Up|2,2,1,0,1,4,0,0,2,0,0,0,1,0,0,0
2,2,1,0,1,4,0,0,2,0,0,0,1,0,0,1|Left|3,1,0,0,1,4,0,0,2,0,0,0,2,0,0,0
3,1,0,0,1,4,0,0,2,0,0,0,2,0,0,1|Right|0,0,3,1,0,0,1,4,0,0,0,2,0,0,2,1
1,0,3,1,0,0,1,4,0,0,0,2,0,0,2,1|Down|0,0,0,1,0,0,3,4,0,0,1,2,1,0,2,1
0,0,0,1,0,1,3,4,0,0,1,2,1,0,2,1|Left|1,0,0,0,1,3,4,0,1,2,0,0,1,2,1,0
1,1,0,0,1,3,4,0,1,2,0,0,1,2,1,0|Right|0,0,0,2,0,1,3,4,0,0,1,2,0,1,2,1
0,0,0,2,0,1,3,4,0,2,1,2,0,1,2,1|Up|0,1,3,2,0,2,1,4,0,1,2,2,0,0,0,1
1,1,3,2,0,2,1,4,0,1,2,2,0,0,0,1|Right|0,2,3,2,0,2,1,4,0,0,1,3,0,0,0,1
0,2,3,2,0,2,1,4,1,0,1,3,0,0,0,1|Down|0,0,0,2,0,0,0,4,0,0,3,3,1,3,2,1
0,0,0,2,0,1,0,4,0,0,3,3,1,3,2,1|Right|0,0,0,2,0,0,1,4,0,0,0,4,1,3,2,1
0,0,0,2,0,0,1,4,1,0,0,4,1,3,2,1|Up|2,3,1,2,0,0,2,5,0,0,0,1,0,0,0,0
2,3,1,2,0,0,2,5,0,0,0,1,2,0,0,0|Up|3,3,1,2,0,0,2,5,0,0,0,1,0,0,0,0
3,3,1,2,0,0,2,5,0,0,1,1,0,0,0,0|Right|0,4,1,2,0,0,2,5,0,0,0,2,0,0,0,0
0,4,1,2,0,0,2,5,0,0,1,2,0,0,0,0|Right|0,4,1,2,0,0,2,5,0,0,1,2,0,0,0,0
0,4,1,2,0,0,2,5,0,0,1,2,0,0,0,0|Up|0,4,1,2,0,0,2,5,0,0,1,2,0,0,0,0
0,4,1,2,0,0,2,5,0,0,1,2,0,0,0,0|Down|0,0,0,0,0,0,1,2,0,0,2,5,0,4,1,2
0,0,1,0,0,0,1,2,0,0,2,5,0,4,1,2|Down|0,0,0,0,0,0,2,2,0,0,2,5,0,4,1,2
0,0,0,0,0,0,2,2,0,0,2,5,1,4,1,2|Down|0,0,0,0,0,0,0,2,0,0,3,5,1,4,1,2
0,0,0,0,0,0,1,2,0,0,3,5,1,4,1,2|Up|1,4,1,2,0,0,3,5,0,0,1,2,0,0,0,0
1,4,1,2,0,0,3,5,0,0,1,2,0,1,0,0|Left|1,4,1,2,3,5,0,0,1,2,0,0,1,0,0,0
1,4,1,2,3,5,0,1,1,2,0,0,1,0,0,0|Left|1,4,1,2,3,5,1,0,1,2,0,0,1,0,0,0
1,4,1,2,3,5,1,0,1,2,0,0,1,0,0,0|Right|1,4,1,2,0,3,5,1,0,0,1,2,0,0,0,1
1,4,1,2,0,3,5,1,0,0,1,2,0,1,0,1|Left|1,4,1,2,3,5,1,0,1,2,0,0,2,0,0,0
1,4,1,2,3,5,1,0,1,2,0,0,2,0,1,0|Left|1,4,1,2,3,5,1,0,1,2,0,0,2,1,0,0
1,4,1,2,3,5,1,0,1,2,0,0,2,1,0,0|Right|1,4,1,2,0,3,5,1,0,0,1,2,0,0,2,1
1,4,1,2,0,3,5,1,1,0,1,2,0,0,2,1|Left|1,4,1,2,3,5,1,0,2,2,0,0,2,1,0,0
1,4,1,2,3,5,1,0,2,2,0,0,2,1,1,0|Left|1,4,1,2,3,5,1,0,3,0,0,0,2,2,0,0
1,4,1,2,3,5,1,0,3,2,0,0,2,2,0,0|Right|1,4,1,2,0,3,5,1,0,0,3,2,0,0,0,3
1,4,1,2,0,3,5,1,0,1,3,2,0,0,0,3|Left|1,4,1,2,3,5,1,0,1,3,2,0,3,0,0,0
1,4,1,2,3,5,1,0,1,3,2,0,3,0,0,1|Up|1,4,2,2,3,5,2,1,1,3,0,0,3,0,0,0
1,4,2,2,3,5,2,1,1,3,0,0,3,0,1,0|Up|1,4,3,2,3,5,1,1,1,3,0,0,3,0,0,0
1,4,3,2,3,5,1,1,1,3,0,0,3,0,0,1|Right|1,4,3,2,0,3,5,2,0,0,1,3,0,0,3,1
1,4,3,2,0,3,5,2,0,0,1,3,1,0,3,1|Down|0,0,3,0,0,0,5,3,0,4,1,3,2,3,3,1
0,1,3,0,0,0,5,3,0,4,1,3,2,3,3,1|Down|0,0,3,0,0,1,5,0,0,4,1,4,2,3,3,1
0,1,3,0,0,1,5,0,0,4,1,4,2,3,3,1|Right|0,0,1,3,0,0,1,5,0,4,1,4,0,2,4,1
1,0,1,3,0,0,1,5,0,4,1,4,0,2,4,1|Down|0,0,0,3,0,0,2,5,0,4,1,4,1,2,4,1
1,0,0,3,0,0,2,5,0,4,1,4,1,2,4,1|Right|0,0,1,3,0,0,2,5,0,4,1,4,1,2,4,1
0,0,1,3,0,0,2,5,0,4,1,4,1,2,4,1|Down|0,0,1,3,0,0,2,5,0,4,1,4,1,2,4,1
0,0,1,3,0,0,2,5,0,4,1,4,1,2,4,1|Left|1,3,0,0,2,5,0,0,4,1,4,0,1,2,4,1
1,3,0,2,2,5,0,0,4,1,4,0,1,2,4,1|Up|1,3,5,2,2,5,0,1,4,1,0,0,1,2,0,0
1,3,5,2,2,5,0,1,4,1,0,0,1,2,1,0|Right|1,3,5,2,0,2,5,1,0,0,4,1,0,1,2,1
1,3,5,2,0,2,5,1,0,1,4,1,0,1,2,1|Right|1,3,5,2,0,2,5,1,0,1,4,1,0,1,2,1
1,3,5,2,0,2,5,1,0,1,4,1,0,1,2,1|Down|0,0,0,0,0,3,6,2,0,2,4,2,1,2,2,1
0,0,0,1,0,3,6,2,0,2,4,2,1,2,2,1|Down|0,0,0,0,0,0,6,1,0,3,4,3,1,3,2,1
2,0,0,0,0,0,6,1,0,3,4,3,1,3,2,1|Left|2,0,0,0,6,1,0,0,3,4,3,0,1,3,2,1
2,0,0,0,6,1,0,1,3,4,3,0,1,3,2,1|Left|2,0,0,0,6,2,0,0,3,4,3,0,1,3,2,1
2,0,0,0,6,2,0,0,3,4,3,1,1,3,2,1|Left|2,0,0,0,6,2,0,0,3,4,3,1,1,3,2,1
2,0,0,0,6,2,0,0,3,4,3,1,1,3,2,1|Down|2,0,0,0,6,2,0,0,3,4,3,0,1,3,2,2
2,0,0,1,6,2,0,0,3,4,3,0,1,3,2,2|Right|0,0,2,1,0,0,6,2,0,3,4,3,0,1,3,3
0,0,2,1,0,1,6,2,0,3,4,3,0,1,3,3|Down|0,0,2,0,0,1,6,1,0,3,4,2,0,1,3,4
0,0,2,0,1,1,6,1,0,3,4,2,0,1,3,4|Right|0,0,0,2,0,2,6,1,0,3,4,2,0,1,3,4
0,0,0,2,1,2,6,1,0,3,4,2,0,1,3,4|Down|0,0,0,2,0,2,6,1,0,3,4,2,1,1,3,4
0,0,0,2,0,2,6,1,2,3,4,2,1,1,3,4|Left|2,0,0,0,2,6,1,0,2,3,4,2,2,3,4,0
2,0,0,0,2,6,1,0,2,3,4,2,2,3,4,1|Up|3,6,1,2,3,4,5,1,0,0,0,0,0,0,0,0
3,6,1,2,3,4,5,1,1,0,0,0,0,0,0,0|Down|0,0,0,0,0,0,0,0,4,6,1,2,1,4,5,1
0,1,0,0,0,0,0,0,4,6,1,2,1,4,5,1|Down|0,0,0,0,0,1,0,0,4,6,1,2,1,4,5,1
0,0,0,0,0,1,0,0,4,6,1,2,1,4,5,1|Up|4,1,1,2,1,6,5,1,0,4,0,0,0,0,0,0
4,1,1,2,1,6,5,1,0,4,0,0,0,0,1,0|Left|4,2,2,0,1,6,5,1,4,0,0,0,1,0,0,0
4,2,2,1,1,6,5,1,4,0,0,0,1,0,0,0|Left|4,3,1,0,1,6,5,1,4,0,0,0,1,0,0,0
4,3,1,0,1,6,5,1,4,1,0,0,1,0,0,0|Right|0,4,3,1,1,6,5,1,0,0,4,1,0,0,0,1
0,4,3,1,1,6,5,1,0,0,4,1,0,1,0,1|Right|0,4,3,1,1,6,5,1,0,0,4,1,0,0,0,2
0,4,3,1,1,6,5,1,0,0,4,1,0,0,1,2|Up|1,4,3,1,0,6,5,2,0,0,4,2,0,0,1,0
1,4,3,1,0,6,5,2,0,0,4,2,2,0,1,0|Up|1,4,3,1,2,6,5,3,0,0,4,0,0,0,1,0
1,4,3,1,2,6,5,3,0,0,4,0,0,1,1,0|Down|0,0,3,0,0,4,5,0,1,6,4,1,2,1,1,3
0,0,3,0,1,4,5,0,1,6,4,1,2,1,1,3|Up|2,4,3,1,2,6,5,3,0,1,4,0,0,0,1,0
2,4,3,1,2,6,5,3,0,1,4,0,0,0,1,1|Up|3,4,3,1,0,6,5,3,0,1,4,1,0,0,1,0
3,4,3,1,0,6,5,3,1,1,4,1,0,0,1,0|Down|0,0,3,0,0,4,5,1,3,6,4,3,1,1,1,1
0,1,3,0,0,4,5,1,3,6,4,3,1,1,1,1|Up|3,1,3,1,1,4,5,3,0,6,4,1,0,1,1,0
3,1,3,1,1,4,5,3,1,6,4,1,0,1,1,0|Left|3,1,3,1,1,4,5,3,1,6,4,1,2,0,0,0
3,1,3,1,1,4,5,3,1,6,4,1,2,1,0,0|Up|3,1,3,1,2,4,5,3,2,6,4,1,0,1,0,0
3,1,3,1,2,4,5,3,2,6,4,1,1,1,0,0|Up|3,1,3,1,3,4,5,3,1,6,4,1,0,1,0,0
3,1,3,1,3,4,5,3,1,6,4,1,0,1,1,0|Up|4,1,3,1,1,4,5,3,0,6,4,1,0,1,1,0
4,1,3,1,1,4,5,3,0,6,4,1,1,1,1,0|Down|0,1,3,0,0,4,5,1,4,6,4,3,2,1,1,1
1,1,3,0,0,4,5,1,4,6,4,3,2,1,1,1|Left|2,3,0,0,4,5,1,0,4,6,4,3,2,1,2,0
2,3,0,1,4,5,1,0,4,6,4,3,2,1,2,0|Right|0,2,3,1,0,4,5,1,4,6,4,3,0,2,1,2
0,2,3,1,0,4,5,1,4,6,4,3,1,2,1,2|Up|4,2,3,2,1,4,5,3,0,6,4,2,0,2,1,0
4,2,3,2,1,4,5,3,0,6,4,2,2,2,1,0|Right|4,2,3,2,1,4,5,3,0,6,4,2,0,0,3,1
4,2,3,2,1,4,5,3,0,6,4,2,0,1,3,1|Left|4,2,3,2,1,4,5,3,6,4,2,0,1,3,1,0
4,2,3,2,1,4,5,3,6,4,2,1,1,3,1,0|Right|4,2,3,2,1,4,5,3,6,4,2,1,0,1,3,1
4,2,3,2,1,4,5,3,6,4,2,1,1,1,3,1|Left|4,2,3,2,1,4,5,3,6,4,2,1,2,3,1,0
4,2,3,2,1,4,5,3,6,4,2,1,2,3,1,1|Up|4,2,3,2,1,5,5,3,6,3,2,2,2,0,1,0
4,2,3,2,1,5,5,3,6,3,2,2,2,0,1,1|Down|4,0,3,2,1,2,5,3,6,5,2,2,2,3,1,1
4,1,3,2,1,2,5,3,6,5,2,2,2,3,1,1|Down|4,1,3,2,1,2,5,3,6,5,2,2,2,3,1,1
4,1,3,2,1,2,5,3,6,5,2,2,2,3,1,1|Right|4,1,3,2,1,2,5,3,0,6,5,3,0,2,3,2
4,1,3,2,1,2,5,3,0,6,5,3,1,2,3,2|Up|4,1,3,2,2,2,6,4,0,6,3,2,0,2,0,0
4,1,3,2,2,2,6,4,1,6,3,2,0,2,0,0|Down|0,1,0,0,4,2,3,2,2,6,6,4,1,2,3,2
0,1,1,0,4,2,3,2,2,6,6,4,1,2,3,2|Down|0,1,1,0,4,2,3,2,2,6,6,4,1,2,3,2
0,1,1,0,4,2,3,2,2,6,6,4,1,2,3,2|Right|0,0,0,2,4,2,3,2,0,2,7,4,1,2,3,2
0,1,0,2,4,2,3,2,0,2,7,4,1,2,3,2|Up|4,1,3,3,1,2,7,4,0,3,3,2,0,0,0,0
4,1,3,3,1,2,7,4,0,3,3,2,0,0,2,0|Down|0,0,3,0,0,1,7,3,4,2,3,4,1,3,2,2
1,0,3,0,0,1,7,3,4,2,3,4,1,3,2,2|Left|1,3,0,0,1,7,3,0,4,2,3,4,1,3,3,0
